DateTime,Entries,UniqueIPs
1477728721,4716,4760
1477729322,4727,4771
1477729922,4726,4770
1477730521,4732,4776
1477731122,4701,4745
1477731722,4716,4760
1477732922,4701,4745
1477734122,4710,4754
1477734722,4703,4747
1477735322,4715,4758
1477735922,4668,4711
1477736521,4678,4721
1477737722,4656,4698
1477738321,4681,4723
1477738922,4690,4732
1477739521,4675,4717
1477740122,4647,4690
1477740722,4667,4715
1477741321,4681,4729
1477741922,4678,4725
1477742521,4675,4722
1477743122,4682,4729
1477743721,4683,4730
1477744321,4697,4744
1477744922,4712,4759
1477745521,4721,4768
1477746121,4717,4764
1477746721,4693,4739
1477747321,4674,4719
1477747922,4662,4706
1477748522,4677,4721
1477749721,4636,4680
1477750321,4645,4689
1477750922,4642,4686
1477751521,4643,4687
1477752121,4649,4693
1477752722,4667,4711
1477753322,4659,4702
1477753921,4645,4686
1477754522,4651,4692
1477755121,4667,4708
1477755721,4678,4719
1477756322,4663,4704
1477756922,4680,4721
1477757522,4681,4722
1477758121,4658,4699
1477758722,4659,4700
1477759322,4665,4706
1477759922,4654,4695
1477760521,4671,4712
1477761121,4674,4715
1477761722,4682,4723
1477762321,4662,4703
1477762921,4663,4704
1477763521,4677,4719
1477764122,4690,4732
1477764721,4669,4711
1477765321,4673,4715
1477766521,4635,4673
1477767121,4645,4683
1477768321,4633,4670
1477768921,4620,4656
1477769522,4638,4674
1477770122,4629,4665
1477770721,4623,4659
1477771322,4641,4677
1477772521,4589,4625
1477773721,4580,4616
1477774922,4522,4557
1477776122,4538,4573
1477776722,4544,4579
1477777321,4512,4547
1477778521,4523,4558
1477779722,4522,4557
1477780322,4522,4557
1477780922,4511,4546
1477781521,4533,4568
1477782121,4537,4572
1477782721,4563,4598
1477783321,4558,4593
1477783921,4510,4544
1477784522,4520,4555
1477785121,4517,4551
1477785722,4502,4537
1477786923,4490,4525
1477787521,4502,4537
1477788122,4492,4526
1477788722,4490,4522
1477789322,4495,4527
1477789922,4477,4509
1477790521,4481,4514
1477791122,4478,4511
1477791721,4476,4510
1477792321,4492,4526
1477792921,4491,4524
1477794122,4490,4525
1477794721,4474,4508
1477795322,4475,4509
1477795921,4486,4520
1477796522,4473,4506
1477797722,4471,4505
1477798322,4477,4511
1477798922,4477,4510
1477799521,4466,4499
1477800121,4482,4515
1477800721,4484,4517
1477801322,4469,4501
1477801921,4485,4517
1477802521,4469,4500
1477803122,4457,4488
1477803722,4469,4500
1477804322,4482,4514
1477804921,4480,4512
1477806122,4461,4491
1477806722,4463,4493
1477807321,4478,4508
1477808522,4454,4485
1477809121,4440,4471
1477809721,4446,4477
1477810321,4464,4495
1477810921,4485,4516
1477812122,4445,4477
1477812722,4449,4482
1477813321,4477,4511
1477813921,4485,4522
1477814521,4504,4541
1477815122,4459,4496
1477815722,4467,4504
1477816321,4469,4506
1477816921,4485,4522
1477817521,4498,4535
1477818121,4506,4543
1477819322,4476,4512
1477819921,4479,4515
1477820521,4502,4538
1477821122,4521,4557
1477821721,4526,4562
1477822322,4508,4545
1477822922,4503,4540
1477824122,4522,4559
1477824722,4533,4571
1477825322,4514,4552
1477825922,4512,4550
1477826522,4518,4556
1477827721,4512,4547
1477828921,4518,4553
1477830121,4500,4535
1477831322,4511,4546
1477831922,4502,4537
1477832521,4497,4532
1477833122,4466,4500
1477833722,4475,4509
1477834322,4479,4512
1477834921,4476,4509
1477836121,4497,4530
1477836722,4497,4530
1477837322,4484,4517
1477838522,4500,4533
1477839721,4488,4519
1477840922,4486,4517
1477841522,4465,4496
1477842122,4482,4513
1477842722,4474,4504
1477843322,4477,4507
1477843922,4468,4498
1477844522,4478,4508
1477845121,4459,4489
1477845721,4482,4512
1477846322,4472,4502
1477846921,4470,4500
1477848121,4437,4467
1477848722,4441,4472
1477849322,4467,4500
1477849922,4461,4496
1477850522,4477,4513
1477851121,4469,4505
1477851722,4488,4529
1477852922,4508,4549
1477854121,4497,4539
1477854722,4517,4560
1477855321,4526,4566
1477856522,4516,4554
1477857121,4531,4569
1477857721,4537,4577
1477858321,4554,4594
1477858921,4558,4599
1477859522,4547,4590
1477860121,4557,4600
1477860722,4569,4612
1477861321,4591,4634
1477862522,4573,4617
1477863122,4585,4628
1477863721,4593,4636
1477864321,4575,4618
1477864921,4585,4628
1477865521,4605,4650
1477866122,4622,4667
1477866722,4619,4664
1477867321,4618,4663
1477867921,4604,4649
1477868522,4616,4662
1477869721,4606,4652
1477870931,4609,4655
1477871522,4598,4645
1477872132,4506,4553
1477872722,4514,4561
1477873921,4499,4544
1477874522,4526,4571
1477875122,4513,4557
1477875722,4610,4657
1477876322,4630,4678
1477876921,4621,4668
1477877522,4624,4672
1477878121,4634,4683
1477878722,4603,4653
1477879321,4621,4671
1477879921,4627,4676
1477880523,4631,4680
1477881122,4647,4697
1477881722,4633,4682
1477882322,4631,4680
1477882922,4650,4699
1477884121,4653,4704
1477884722,4645,4701
1477885322,4659,4716
1477885921,4675,4733
1477886522,4668,4725
1477887122,4672,4731
1477887727,4689,4748
1477888322,4661,4720
1477888922,4676,4735
1477889522,4655,4713
1477890122,4643,4706
1477890722,4664,4727
1477891321,4651,4712
1477891923,4666,4727
1477892522,4681,4742
1477893121,4674,4736
1477893722,4676,4740
1477894321,4676,4740
1477894921,4692,4756
1477895522,4701,4768
1477896122,4675,4745
1477897322,4665,4736
1477897922,4669,4741
1477898522,4694,4767
1477899122,4655,4725
1477899721,4655,4725
1477900322,4674,4744
1477900921,4652,4721
1477901521,4667,4737
1477902122,4648,4718
1477903321,4621,4692
1477903921,4649,4722
1477904522,4637,4710
1477905122,4650,4723
1477905721,4653,4726
1477906321,4655,4728
1477906921,4665,4739
1477908121,4648,4722
1477909321,4631,4705
1477909922,4637,4711
1477910521,4639,4713
1477911121,4646,4720
1477911721,4628,4703
1477912321,4630,4704
1477912922,4642,4716
1477913522,4652,4734
1477914122,4672,4756
1477915321,4668,4754
1477915921,4680,4766
1477916522,4706,4793
1477917721,4688,4773
1477918322,4703,4792
1477918921,4706,4795
1477920122,4700,4788
1477921322,4679,4766
1477921921,4686,4777
1477922522,4692,4783
1477923122,4704,4795
1477923721,4690,4781
1477924322,4704,4795
1477924921,4716,4809
1477925521,4711,4804
1477926122,4702,4794
1477926721,4721,4813
1477927321,4721,4813
1477927922,4727,4819
1477928521,4754,4846
1477929121,4745,4838
1477929721,4742,4835
1477930321,4757,4853
1477930921,4757,4853
1477931522,4762,4858
1477932122,4736,4832
1477932721,4747,4844
1477933323,4739,4836
1477933922,4735,4832
1477934522,4749,4848
1477935722,4729,4827
1477936922,4731,4829
1477937522,4694,4791
1477938122,4711,4809
1477938721,4720,4806
1477939322,4716,4802
1477939922,4739,4825
1477940521,4746,4829
1477941122,4757,4840
1477941722,4770,4855
1477942321,4782,4867
1477942921,4797,4882
1477943521,4779,4863
1477944122,4771,4854
1477944722,4756,4839
1477945321,4760,4842
1477946521,4711,4792
1477947121,4721,4802
1477947721,4722,4803
1477948321,4721,4803
1477948922,4732,4815
1477949521,4697,4780
1477950122,4704,4788
1477950721,4719,4802
1477951321,4720,4803
1477951922,4714,4797
1477952521,4690,4769
1477953122,4693,4772
1477953722,4712,4791
1477954321,4704,4784
1477954922,4698,4777
1477955522,4727,4806
1477956121,4720,4799
1477956722,4759,4839
1477957321,4774,4855
1477957921,4784,4865
1477958521,4782,4865
1477959122,4766,4845
1477959721,4788,4867
1477960321,4802,4881
1477960922,4812,4888
1477962122,4783,4858
1477962721,4801,4878
1477963322,4799,4879
1477963922,4799,4879
1477964522,4815,4895
1477965721,4791,4869
1477966322,4805,4883
1477966921,4798,4876
1477967521,4817,4896
1477968122,4811,4891
1477968722,4816,4898
1477969321,4795,4879
1477969922,4804,4888
1477970522,4803,4887
1477971122,4813,4897
1477971721,4804,4886
1477972321,4821,4905
1477972922,4826,4910
1477973522,4829,4914
1477974121,4821,4903
1477975322,4805,4887
1477975921,4818,4901
1477976521,4820,4903
1477977122,4793,4871
1477977722,4775,4852
1477978321,4773,4850
1477978922,4802,4882
1477979522,4775,4851
1477980122,4772,4848
1477980722,4782,4858
1477981321,4782,4857
1477981921,4805,4880
1477982522,4773,4847
1477983122,4786,4860
1477983721,4790,4864
1477984321,4797,4869
1477984921,4783,4853
1477986122,4716,4786
1477986721,4707,4777
1477987322,4718,4789
1477987921,4730,4803
