DateTime,AddedIPs,RemovedIPs
1477553044,24,2
1477554000,38,0
1477555269,1,0
1477556293,16,0
1477556883,1,1
1477557065,5,0
1477557601,35,0
1477558872,1,0
1477559779,95,0
1477560724,3,1
1477561200,213,0
1477563600,56,0
1477564264,2,0
1477564322,19,3
1477564800,521,1
1477567201,255,0
1477567604,4,2
1477567868,2,0
1477568519,345,0
1477570200,369,125
1477570552,160,0
1477570899,0,254
1477572000,570,5
1477574245,295,0
1477574788,2,11
1477576083,388,5
1477577401,146,0
1477578450,3,1
1477578722,13,7
1477579200,539,105
1477579925,1,0
1477581352,548,0
1477581975,1269,0
1477582801,165,6
1477584600,114,0
1477586400,99,0
1477588889,126,0
1477589464,3,2
1477590000,53,642
1477591443,4,0
1477592400,172,0
1477592932,7,1
1477593122,13,6
1477594861,55,0
1477595400,54,0
1477597800,1,0
1477599123,1,256
1477600264,92,0
1477600800,95,1
1477602988,130,1
1477603026,155,0
1477604400,119,1
1477606309,0,255
1477606804,121,0
1477607523,15,5
1477609268,145,2
1477610401,85,0
1477611072,8,0
1477611601,99,0
1477613401,70,0
1477613802,174,1234
1477615373,87,5
1477617510,103,0
1477618323,11,18
1477618800,127,3
1477620601,115,0
1477622170,23,8
1477622401,137,2
1477624200,140,0
1477624530,53,79
1477626003,0,2
1477626124,130,3
1477627800,132,0
1477629601,149,1
1477632001,103,0
1477633129,4,1
1477633705,154,656
1477635001,128,0
1477635479,36,0
1477636650,13,3
1477636801,108,0
1477637524,1,1
1477639183,137,0
1477641363,28,4
1477642200,36,0
1477644103,1,0
1477644283,29,0
1477645209,0,1
1477646400,44,0
1477647600,51,1
1477649285,2,0
1477649401,42,0
1477650722,10,11
1477651201,251,0
1477653809,128,0
1477655058,4,5
1477656076,548,3
1477657215,756,120
1477658401,522,1
1477660800,417,0
1477661044,0,2
1477661463,6,11
1477663266,323,7
1477663800,252,0
1477665122,14,4
1477665784,227,20
1477667400,188,0
1477667865,907,0
1477669200,171,7
1477672264,105,0
1477672564,1,0
1477672800,132,9
1477675158,173,0
1477676871,66,809
1477678314,0,510
1477678553,208,0
1477679523,23,7
1477680001,57,1
1477680093,255,0
1477681912,256,0
1477682257,41,0
1477684083,56,1
1477686000,25,0
1477687835,53,13
1477689000,54,0
1477689576,412,0
1477690800,43,0
1477691763,2,1
1477693861,39,0
1477693922,17,7
1477694634,63,2
1477695605,0,2
1477696650,17,0
1477698000,37,1
1477698953,5,2
1477699443,2,0
1477699801,24,0
1477700210,164,862
1477701600,40,7
1477703284,7,24
1477703917,20,0
1477705200,35,0
1477707123,0,1
1477707422,9,0
1477708321,11,2
1477708800,30,0
1477710005,4,3
1477710963,15,0
1477711008,54,0
1477712400,35,0
1477714200,5,0
1477714804,1,0
1477716000,33,0
1477717800,3,0
1477718644,0,1
1477719600,31,657
1477721185,11,5
1477721719,55,0
1477722721,12,8
1477723201,36,0
1477725615,7,0
1477726324,0,257
1477726801,52,0
1477728074,1,0
1477728600,5,0
1477730400,29,0
1477732319,3,3
1477732800,69,0
1477734232,56,0
1477735801,8,0
1477736596,0,1017
1477737122,13,264
1477737915,51,2
1477740178,15,0
1477741800,46,256
1477743120,149,153
1477743601,192,0
1477744800,60,0
1477747025,6,12
1477748400,54,0
1477749364,1,0
